ID,$c_{1}$,$y_{1}$,$t$,ExpValue,Successor,$j^*$,$m$,$r_{j}-OC_{j}$
19,2,0,4,343.75,[33 18 38],1,LP,287.5
33,1,1,3,387.5,[17 12 7],1,LP,375.0
38,1,0,3,200.0,[17 12],1,AA,100.0
18,2,0,3,200.0,[17 12],1,AA,100.0
17,2,0,2,125.0,[16 36 31],1,AA,100.0
36,1,0,1,50.0,[50 35 55],1,AA,100.0
55,0,0,0,0.0,['end'],0,-,0.0
12,2,1,2,175.0,[16 26 11 31],1,AA,100.0
16,2,0,1,50.0,[35 30 15],1,AA,100.0
31,1,1,1,100.0,[50 35 45 30],1,AA,100.0
50,0,1,0,0.0,['end'],0,-,0.0
7,2,2,2,450.0,[26 11 21 6],1,LP,600.0
26,1,2,1,100.0,[40 25 45 30],1,AA,100.0
45,0,2,0,0.0,['end'],0,-,0.0
11,2,1,1,100.0,[25 10 30 15],1,AA,100.0
30,1,1,0,0.0,['end'],0,-,0.0
15,2,0,0,0.0,['end'],0,-,0.0
21,1,3,1,600.0,[40 25 35 20],2,LE,5000.0
40,0,3,0,0.0,['end'],0,-,0.0
35,1,0,0,0.0,['end'],0,-,0.0
6,2,2,1,100.0,[25 10 20 5],1,AA,100.0
25,1,2,0,0.0,['end'],0,-,0.0
10,2,1,0,0.0,['end'],0,-,0.0
20,1,3,0,0.0,['end'],0,-,0.0
5,2,2,0,0.0,['end'],0,-,0.0
